State,County Name,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other
PA,Mifflin County,Distribution of all-cause deaths (%),785,174,0.99,,,,,,
PA,Mifflin County,Distribution of COVID-19 deaths (%),785,174,1,,,,,,
PA,Mifflin County,Distribution of population (%),785,174,0.956,0.008,0.002,0.007,0,0.017,0.011
PA,Monroe County,Distribution of all-cause deaths (%),1752,232,0.816,0.098,,0.01,,0.071,
PA,Monroe County,Distribution of COVID-19 deaths (%),1752,232,0.789,0.125,,,,0.069,
PA,Monroe County,Distribution of population (%),1752,232,0.645,0.137,0.002,0.025,0.001,0.169,0.021
PA,Montgomery County,Distribution of all-cause deaths (%),11081,1902,0.791,0.156,,0.027,,0.022,0.003
PA,Montgomery County,Distribution of COVID-19 deaths (%),11081,1902,0.698,0.226,,0.04,,0.033,
PA,Montgomery County,Distribution of population (%),11081,1902,0.75,0.094,0.001,0.08,0,0.054,0.02
PA,Montour County,Distribution of all-cause deaths (%),1648,306,0.963,0.017,,,,0.01,
PA,Montour County,Distribution of COVID-19 deaths (%),1648,306,0.967,,,,,,
PA,Montour County,Distribution of population (%),1648,306,0.907,0.017,0.002,0.034,0,0.029,0.011
PA,Northampton County,Distribution of all-cause deaths (%),3396,460,0.903,0.039,,0.007,,0.048,
PA,Northampton County,Distribution of COVID-19 deaths (%),3396,460,0.896,0.037,,,,0.05,
PA,Northampton County,Distribution of population (%),3396,460,0.754,0.056,0.001,0.029,0,0.141,0.018
PA,Northumberland County,Distribution of all-cause deaths (%),1117,199,0.977,0.011,,,,,
PA,Northumberland County,Distribution of COVID-19 deaths (%),1117,199,0.985,,,,,,
PA,Northumberland County,Distribution of population (%),1117,199,0.917,0.026,0.002,0.004,0,0.039,0.011
PA,Philadelphia County,Distribution of all-cause deaths (%),20226,2773,0.441,0.439,0,0.037,,0.078,0.004
PA,Philadelphia County,Distribution of COVID-19 deaths (%),20226,2773,0.384,0.455,,0.058,,0.1,
PA,Philadelphia County,Distribution of population (%),20226,2773,0.343,0.405,0.002,0.076,0,0.152,0.02
PA,Schuylkill County,Distribution of all-cause deaths (%),2012,259,0.972,0.01,,,,0.011,
PA,Schuylkill County,Distribution of COVID-19 deaths (%),2012,259,0.958,,,,,,
PA,Schuylkill County,Distribution of population (%),2012,259,0.901,0.03,0.002,0.006,0,0.052,0.01
PA,Somerset County,Distribution of all-cause deaths (%),1154,173,0.975,0.021,,,,,
PA,Somerset County,Distribution of COVID-19 deaths (%),1154,173,0.988,,,,,,
PA,Somerset County,Distribution of population (%),1154,173,0.941,0.03,0.001,0.005,0,0.016,0.007
PA,Union County,Distribution of all-cause deaths (%),609,112,0.985,,,,,,
PA,Union County,Distribution of COVID-19 deaths (%),609,112,0.991,,,,,,
PA,Union County,Distribution of population (%),609,112,0.841,0.064,0.003,0.017,0.001,0.06,0.013
PA,Washington County,Distribution of all-cause deaths (%),2947,216,0.938,0.049,,,,0.005,0.006
PA,Washington County,Distribution of COVID-19 deaths (%),2947,216,0.917,0.065,,,,,
PA,Washington County,Distribution of population (%),2947,216,0.919,0.032,0.001,0.011,0,0.018,0.018
PA,Westmoreland County,Distribution of all-cause deaths (%),4573,490,0.972,0.021,,,,0.002,0.002
PA,Westmoreland County,Distribution of COVID-19 deaths (%),4573,490,0.976,,,,,,
PA,Westmoreland County,Distribution of population (%),4573,490,0.936,0.025,0.001,0.01,0,0.013,0.015
PA,York County,Distribution of all-cause deaths (%),5285,645,0.911,0.05,,0.005,,0.03,0.004
PA,York County,Distribution of COVID-19 deaths (%),5285,645,0.89,0.054,,,,0.048,
PA,York County,Distribution of population (%),5285,645,0.826,0.058,0.002,0.015,0,0.081,0.019
RI,Kent County,Distribution of all-cause deaths (%),1908,252,0.968,0.011,,0.01,,0.007,
RI,Kent County,Distribution of COVID-19 deaths (%),1908,252,0.948,,,,,,
RI,Kent County,Distribution of population (%),1908,252,0.874,0.019,0.003,0.028,0,0.057,0.019
RI,Providence County,Distribution of all-cause deaths (%),8720,1764,0.862,0.049,0.003,0.015,,0.064,0.006
RI,Providence County,Distribution of COVID-19 deaths (%),8720,1764,0.815,0.059,,0.02,,0.1,
RI,Providence County,Distribution of population (%),8720,1764,0.6,0.088,0.004,0.044,0.001,0.239,0.024
RI,Washington County,Distribution of all-cause deaths (%),1292,120,0.976,,0.009,,,,
RI,Washington County,Distribution of COVID-19 deaths (%),1292,120,0.975,,,,,,
RI,Washington County,Distribution of population (%),1292,120,0.908,0.013,0.008,0.02,0,0.034,0.017
SC,Aiken County,Distribution of all-cause deaths (%),1981,150,0.733,0.248,,,,0.012,
SC,Aiken County,Distribution of COVID-19 deaths (%),1981,150,0.573,0.4,,,,,
SC,Aiken County,Distribution of population (%),1981,150,0.657,0.248,0.004,0.012,0,0.059,0.02
SC,Anderson County,Distribution of all-cause deaths (%),2977,343,0.831,0.152,,0.004,,0.009,
SC,Anderson County,Distribution of COVID-19 deaths (%),2977,343,0.787,0.175,,,,0.032,
SC,Anderson County,Distribution of population (%),2977,343,0.771,0.16,0.002,0.01,0,0.04,0.017
SC,Beaufort County,Distribution of all-cause deaths (%),1791,119,0.799,0.173,,,,0.02,
SC,Beaufort County,Distribution of COVID-19 deaths (%),1791,119,0.605,0.336,,,,,
SC,Beaufort County,Distribution of population (%),1791,119,0.684,0.172,0.002,0.014,0.001,0.111,0.017
SC,Charleston County,Distribution of all-cause deaths (%),5707,541,0.642,0.324,0.003,0.007,,0.02,0.004
SC,Charleston County,Distribution of COVID-19 deaths (%),5707,541,0.519,0.427,,,,0.037,
SC,Charleston County,Distribution of population (%),5707,541,0.652,0.259,0.002,0.018,0.001,0.053,0.016
SC,Florence County,Distribution of all-cause deaths (%),3566,553,0.557,0.426,0.007,0.003,,0.007,
SC,Florence County,Distribution of COVID-19 deaths (%),3566,553,0.452,0.517,,,,,
SC,Florence County,Distribution of population (%),3566,553,0.512,0.427,0.003,0.016,0.001,0.028,0.014
SC,Georgetown County,Distribution of all-cause deaths (%),1139,140,0.745,0.241,,,,0.01,
SC,Georgetown County,Distribution of COVID-19 deaths (%),1139,140,0.721,0.271,,,,,
SC,Georgetown County,Distribution of population (%),1139,140,0.65,0.301,0.002,0.005,0,0.032,0.01
SC,Greenville County,Distribution of all-cause deaths (%),6414,705,0.802,0.169,,0.007,,0.02,
SC,Greenville County,Distribution of COVID-19 deaths (%),6414,705,0.756,0.193,,,,0.037,
SC,Greenville County,Distribution of population (%),6414,705,0.679,0.178,0.002,0.026,0.001,0.095,0.018
SC,Greenwood County,Distribution of all-cause deaths (%),1290,171,0.684,0.302,,,,0.009,
SC,Greenwood County,Distribution of COVID-19 deaths (%),1290,171,0.632,0.339,,,,,
SC,Greenwood County,Distribution of population (%),1290,171,0.594,0.316,0.002,0.013,0,0.062,0.013
SC,Horry County,Distribution of all-cause deaths (%),4840,421,0.86,0.112,0.003,0.004,,0.018,0.002
SC,Horry County,Distribution of COVID-19 deaths (%),4840,421,0.791,0.173,,,,0.031,
SC,Horry County,Distribution of population (%),4840,421,0.776,0.125,0.004,0.013,0.001,0.061,0.019
SC,Lexington County,Distribution of all-cause deaths (%),3323,324,0.813,0.159,,0.008,,0.015,0.003
SC,Lexington County,Distribution of COVID-19 deaths (%),3323,324,0.741,0.231,,,,,
SC,Lexington County,Distribution of population (%),3323,324,0.741,0.152,0.004,0.022,0.001,0.063,0.019
SC,Orangeburg County,Distribution of all-cause deaths (%),1299,170,0.422,0.567,,,,,
SC,Orangeburg County,Distribution of COVID-19 deaths (%),1299,170,0.353,0.635,,,,,
SC,Orangeburg County,Distribution of population (%),1299,170,0.333,0.615,0.006,0.009,0,0.024,0.013
SC,Pickens County,Distribution of all-cause deaths (%),1122,107,0.933,0.054,,,,,
SC,Pickens County,Distribution of COVID-19 deaths (%),1122,107,0.86,0.093,,,,,
SC,Pickens County,Distribution of population (%),1122,107,0.852,0.07,0.002,0.02,0,0.039,0.017
SC,Richland County,Distribution of all-cause deaths (%),4907,512,0.52,0.448,,0.008,,0.02,
SC,Richland County,Distribution of COVID-19 deaths (%),4907,512,0.475,0.48,,,,0.029,
SC,Richland County,Distribution of population (%),4907,512,0.414,0.477,0.003,0.029,0.001,0.053,0.022
SC,Spartanburg County,Distribution of all-cause deaths (%),4640,655,0.792,0.182,,0.008,,0.016,
SC,Spartanburg County,Distribution of COVID-19 deaths (%),4640,655,0.742,0.212,,,,0.038,
SC,Spartanburg County,Distribution of population (%),4640,655,0.677,0.204,0.002,0.025,0,0.073,0.018
SC,Sumter County,Distribution of all-cause deaths (%),1337,126,0.511,0.473,,,,0.008,
SC,Sumter County,Distribution of COVID-19 deaths (%),1337,126,0.429,0.532,,,,,
SC,Sumter County,Distribution of population (%),1337,126,0.447,0.472,0.004,0.014,0.001,0.042,0.02
SC,York County,Distribution of all-cause deaths (%),2584,166,0.785,0.187,0.006,0.005,,0.015,
SC,York County,Distribution of COVID-19 deaths (%),2584,166,0.705,0.253,,,,,
SC,York County,Distribution of population (%),2584,166,0.697,0.188,0.007,0.027,0,0.059,0.021
SD,Brown County,Distribution of all-cause deaths (%),547,103,0.943,,0.042,,,,
SD,Brown County,Distribution of COVID-19 deaths (%),547,103,0.903,,0.097,,,,
SD,Brown County,Distribution of population (%),547,103,0.86,0.022,0.032,0.028,0.002,0.036,0.022
SD,Minnehaha County,Distribution of all-cause deaths (%),3309,699,0.879,0.013,0.076,0.01,,0.016,0.006
SD,Minnehaha County,Distribution of COVID-19 deaths (%),3309,699,0.811,,0.134,0.021,,0.019,
SD,Minnehaha County,Distribution of population (%),3309,699,0.819,0.06,0.024,0.021,0,0.051,0.024
SD,Pennington County,Distribution of all-cause deaths (%),1555,199,0.798,,0.171,,,0.017,0.01
SD,Pennington County,Distribution of COVID-19 deaths (%),1555,199,0.754,,0.231,,,,
SD,Pennington County,Distribution of population (%),1555,199,0.797,0.013,0.089,0.012,0.001,0.054,0.035
TN,Anderson County,Distribution of all-cause deaths (%),1415,146,0.954,0.033,,,,,
TN,Anderson County,Distribution of COVID-19 deaths (%),1415,146,0.945,,,,,,
TN,Anderson County,Distribution of population (%),1415,146,0.888,0.04,0.004,0.015,0.001,0.032,0.021
TN,Blount County,Distribution of all-cause deaths (%),1701,139,0.967,0.022,,,,0.007,
TN,Blount County,Distribution of COVID-19 deaths (%),1701,139,0.957,,,,,,
TN,Blount County,Distribution of population (%),1701,139,0.905,0.029,0.003,0.009,0.001,0.036,0.017
TN,Bradley County,Distribution of all-cause deaths (%),1380,110,0.954,0.029,,,,0.015,
TN,Bradley County,Distribution of COVID-19 deaths (%),1380,110,0.982,,,,,,
TN,Bradley County,Distribution of population (%),1380,110,0.851,0.049,0.003,0.011,0.001,0.066,0.019
TN,Davidson County,Distribution of all-cause deaths (%),11965,1527,0.738,0.212,0.001,0.012,,0.032,0.004
TN,Davidson County,Distribution of COVID-19 deaths (%),11965,1527,0.703,0.2,,0.016,,0.074,
TN,Davidson County,Distribution of population (%),11965,1527,0.563,0.268,0.003,0.039,0.001,0.104,0.023
TN,Dickson County,Distribution of all-cause deaths (%),736,125,0.947,0.041,,,,,
TN,Dickson County,Distribution of COVID-19 deaths (%),736,125,0.944,,,,,,
TN,Dickson County,Distribution of population (%),736,125,0.893,0.039,0.004,0.006,0.001,0.039,0.019
TN,Hamblen County,Distribution of all-cause deaths (%),1101,127,0.938,0.042,,,,0.012,
TN,Hamblen County,Distribution of COVID-19 deaths (%),1101,127,0.89,,,,,,
TN,Hamblen County,Distribution of population (%),1101,127,0.808,0.038,0.002,0.009,0.002,0.121,0.019
TN,Hamilton County,Distribution of all-cause deaths (%),6781,660,0.836,0.137,,0.007,,0.018,0.002
TN,Hamilton County,Distribution of COVID-19 deaths (%),6781,660,0.756,0.191,,,,0.042,
TN,Hamilton County,Distribution of population (%),6781,660,0.709,0.19,0.002,0.021,0.001,0.06,0.017
TN,Knox County,Distribution of all-cause deaths (%),8338,825,0.918,0.062,0.001,0.005,,0.011,0.002
TN,Knox County,Distribution of COVID-19 deaths (%),8338,825,0.912,0.053,,,,0.022,
TN,Knox County,Distribution of population (%),8338,825,0.819,0.087,0.002,0.024,0.001,0.046,0.022
TN,Madison County,Distribution of all-cause deaths (%),2709,572,0.709,0.277,,,,0.009,
TN,Madison County,Distribution of COVID-19 deaths (%),2709,572,0.698,0.287,,,,,
TN,Madison County,Distribution of population (%),2709,572,0.556,0.374,0.002,0.011,0,0.041,0.016
TN,Maury County,Distribution of all-cause deaths (%),1529,217,0.882,0.101,,,,0.01,
TN,Maury County,Distribution of COVID-19 deaths (%),1529,217,0.857,0.134,,,,,
TN,Maury County,Distribution of population (%),1529,217,0.786,0.118,0.003,0.009,0,0.062,0.021
TN,Montgomery County,Distribution of all-cause deaths (%),1717,146,0.761,0.192,,0.009,,0.029,0.006
TN,Montgomery County,Distribution of COVID-19 deaths (%),1717,146,0.747,0.205,,,,,
TN,Montgomery County,Distribution of population (%),1717,146,0.621,0.203,0.005,0.022,0.004,0.102,0.045
TN,Putnam County,Distribution of all-cause deaths (%),1511,209,0.974,0.01,,,,0.011,
TN,Putnam County,Distribution of COVID-19 deaths (%),1511,209,0.962,,,,,,
TN,Putnam County,Distribution of population (%),1511,209,0.879,0.022,0.003,0.014,0,0.065,0.016
TN,Rutherford County,Distribution of all-cause deaths (%),3428,517,0.836,0.123,,0.013,,0.025,
TN,Rutherford County,Distribution of COVID-19 deaths (%),3428,517,0.795,0.141,,,,0.05,
TN,Rutherford County,Distribution of population (%),3428,517,0.691,0.158,0.003,0.035,0.001,0.087,0.026
TN,Sevier County,Distribution of all-cause deaths (%),1171,106,0.97,,,0.009,,0.01,
TN,Sevier County,Distribution of COVID-19 deaths (%),1171,106,0.962,,,,,,
TN,Sevier County,Distribution of population (%),1171,106,0.893,0.012,0.004,0.012,0,0.064,0.015
TN,Shelby County,Distribution of all-cause deaths (%),13426,1450,0.456,0.511,0.001,0.008,,0.02,0.004
TN,Shelby County,Distribution of COVID-19 deaths (%),13426,1450,0.397,0.559,,0.009,,0.032,
TN,Shelby County,Distribution of population (%),13426,1450,0.353,0.537,0.002,0.028,0,0.066,0.015
TN,Sullivan County,Distribution of all-cause deaths (%),3984,443,0.977,0.017,,,,0.003,
TN,Sullivan County,Distribution of COVID-19 deaths (%),3984,443,0.973,,,,,,
TN,Sullivan County,Distribution of population (%),3984,443,0.931,0.022,0.003,0.008,0,0.02,0.015
TN,Sumner County,Distribution of all-cause deaths (%),2017,269,0.915,0.062,,0.008,,0.012,
TN,Sumner County,Distribution of COVID-19 deaths (%),2017,269,0.885,0.074,,,,,
TN,Sumner County,Distribution of population (%),2017,269,0.83,0.08,0.003,0.015,0.001,0.053,0.019
TN,Washington County,Distribution of all-cause deaths (%),2959,374,0.957,0.029,,,,0.01,
TN,Washington County,Distribution of COVID-19 deaths (%),2959,374,0.955,,,,,,
TN,Washington County,Distribution of population (%),2959,374,0.882,0.043,0.003,0.017,0,0.036,0.019
TN,Williamson County,Distribution of all-cause deaths (%),1551,191,0.912,0.054,,0.015,,0.015,
TN,Williamson County,Distribution of COVID-19 deaths (%),1551,191,0.864,0.073,,,,,
TN,Williamson County,Distribution of population (%),1551,191,0.837,0.043,0.002,0.051,0,0.049,0.017
TN,Wilson County,Distribution of all-cause deaths (%),1262,121,0.9,0.086,,,,,
TN,Wilson County,Distribution of COVID-19 deaths (%),1262,121,0.926,,,,,,
TN,Wilson County,Distribution of population (%),1262,121,0.841,0.073,0.003,0.018,0.001,0.046,0.018
TX,Angelina County,Distribution of all-cause deaths (%),1379,226,0.766,0.152,,,,0.078,
TX,Angelina County,Distribution of COVID-19 deaths (%),1379,226,0.646,0.168,,,,0.177,
TX,Angelina County,Distribution of population (%),1379,226,0.599,0.15,0.003,0.009,0,0.227,0.012
TX,Bell County,Distribution of all-cause deaths (%),3695,396,0.667,0.178,,0.021,0.004,0.123,0.005
TX,Bell County,Distribution of COVID-19 deaths (%),3695,396,0.624,0.172,,,,0.174,
TX,Bell County,Distribution of population (%),3695,396,0.443,0.221,0.005,0.029,0.007,0.254,0.043
TX,Bexar County,Distribution of all-cause deaths (%),21009,3472,0.404,0.07,0.001,0.012,0.001,0.51,0.002
TX,Bexar County,Distribution of COVID-19 deaths (%),21009,3472,0.243,0.041,,0.009,,0.704,
TX,Bexar County,Distribution of population (%),21009,3472,0.271,0.074,0.002,0.03,0.001,0.606,0.016
TX,Bowie County,Distribution of all-cause deaths (%),1947,324,0.737,0.241,,,,0.016,
TX,Bowie County,Distribution of COVID-19 deaths (%),1947,324,0.716,0.25,,,,,
TX,Bowie County,Distribution of population (%),1947,324,0.631,0.25,0.007,0.012,0.001,0.078,0.022
TX,Brazoria County,Distribution of all-cause deaths (%),2620,274,0.613,0.21,,0.022,,0.153,
TX,Brazoria County,Distribution of COVID-19 deaths (%),2620,274,0.383,0.277,,,,0.303,
TX,Brazoria County,Distribution of population (%),2620,274,0.453,0.144,0.003,0.068,0,0.316,0.017
TX,Brazos County,Distribution of all-cause deaths (%),2012,347,0.724,0.146,,0.01,,0.117,
TX,Brazos County,Distribution of COVID-19 deaths (%),2012,347,0.605,0.19,,,,0.196,
TX,Brazos County,Distribution of population (%),2012,347,0.551,0.106,0.003,0.062,0.001,0.262,0.016
TX,Brown County,Distribution of all-cause deaths (%),656,106,0.86,0.027,,,,0.102,
TX,Brown County,Distribution of COVID-19 deaths (%),656,106,0.802,,,,,0.151,
TX,Brown County,Distribution of population (%),656,106,0.706,0.036,0.005,0.007,0,0.231,0.015
TX,Cameron County,Distribution of all-cause deaths (%),4923,1442,0.166,0.003,,0.003,,0.828,
TX,Cameron County,Distribution of COVID-19 deaths (%),4923,1442,0.081,,,,,0.916,
TX,Cameron County,Distribution of population (%),4923,1442,0.086,0.004,0.001,0.007,0,0.9,0.002
TX,Collin County,Distribution of all-cause deaths (%),7868,1049,0.76,0.087,0.002,0.064,,0.082,0.004
TX,Collin County,Distribution of COVID-19 deaths (%),7868,1049,0.655,0.087,,0.078,,0.17,
TX,Collin County,Distribution of population (%),7868,1049,0.55,0.104,0.004,0.161,0.001,0.155,0.024
TX,Comal County,Distribution of all-cause deaths (%),1786,269,0.789,0.018,,,,0.185,
TX,Comal County,Distribution of COVID-19 deaths (%),1786,269,0.587,,,,,0.394,
TX,Comal County,Distribution of population (%),1786,269,0.665,0.023,0.004,0.013,0.001,0.28,0.015
TX,Dallas County,Distribution of all-cause deaths (%),22330,2995,0.5,0.275,0.002,0.027,,0.193,0.002
TX,Dallas County,Distribution of COVID-19 deaths (%),22330,2995,0.343,0.222,,0.03,,0.399,
TX,Dallas County,Distribution of population (%),22330,2995,0.283,0.227,0.003,0.065,0,0.407,0.015
TX,Denton County,Distribution of all-cause deaths (%),5316,662,0.81,0.071,,0.036,,0.079,0.002
TX,Denton County,Distribution of COVID-19 deaths (%),5316,662,0.711,0.079,,0.035,,0.172,
TX,Denton County,Distribution of population (%),5316,662,0.576,0.105,0.004,0.095,0.001,0.196,0.023
TX,Ector County,Distribution of all-cause deaths (%),1940,407,0.514,0.049,,0.007,,0.425,
TX,Ector County,Distribution of COVID-19 deaths (%),1940,407,0.31,0.039,,,,0.641,
TX,Ector County,Distribution of population (%),1940,407,0.304,0.044,0.004,0.011,0.002,0.625,0.011
TX,Ellis County,Distribution of all-cause deaths (%),1529,195,0.758,0.117,,,,0.118,
TX,Ellis County,Distribution of COVID-19 deaths (%),1529,195,0.6,0.133,,,,0.262,
TX,Ellis County,Distribution of population (%),1529,195,0.588,0.116,0.004,0.007,0.001,0.269,0.015
TX,El Paso County,Distribution of all-cause deaths (%),9441,2420,0.176,0.024,0.003,0.004,0.001,0.789,0.003
TX,El Paso County,Distribution of COVID-19 deaths (%),9441,2420,0.085,0.013,,,,0.896,
TX,El Paso County,Distribution of population (%),9441,2420,0.116,0.031,0.003,0.011,0.001,0.828,0.01
TX,Fort Bend County,Distribution of all-cause deaths (%),4409,477,0.477,0.231,,0.114,,0.171,0.005
TX,Fort Bend County,Distribution of COVID-19 deaths (%),4409,477,0.319,0.226,,0.117,,0.338,
TX,Fort Bend County,Distribution of population (%),4409,477,0.319,0.204,0.002,0.206,0,0.249,0.019
TX,Galveston County,Distribution of all-cause deaths (%),3380,464,0.641,0.171,,0.018,,0.166,0.003
TX,Galveston County,Distribution of COVID-19 deaths (%),3380,464,0.425,0.188,,0.022,,0.364,
TX,Galveston County,Distribution of population (%),3380,464,0.567,0.125,0.004,0.033,0.001,0.254,0.017
TX,Grayson County,Distribution of all-cause deaths (%),2334,393,0.906,0.048,0.013,,,0.029,
TX,Grayson County,Distribution of COVID-19 deaths (%),2334,393,0.873,0.051,,,,0.046,
TX,Grayson County,Distribution of population (%),2334,393,0.746,0.058,0.014,0.015,0.001,0.142,0.024
TX,Gregg County,Distribution of all-cause deaths (%),2425,410,0.734,0.21,,0.006,,0.045,0.004
TX,Gregg County,Distribution of COVID-19 deaths (%),2425,410,0.671,0.22,,,,0.09,
TX,Gregg County,Distribution of population (%),2425,410,0.57,0.202,0.004,0.013,0,0.192,0.018
TX,Guadalupe County,Distribution of all-cause deaths (%),1194,121,0.636,0.071,,,,0.284,
TX,Guadalupe County,Distribution of COVID-19 deaths (%),1194,121,0.38,,,,,0.554,
TX,Guadalupe County,Distribution of population (%),1194,121,0.492,0.079,0.003,0.018,0.002,0.384,0.022
TX,Harris County,Distribution of all-cause deaths (%),39445,5057,0.475,0.231,0.001,0.048,0.001,0.241,0.003
TX,Harris County,Distribution of COVID-19 deaths (%),39445,5057,0.308,0.167,,0.056,,0.466,0.002
TX,Harris County,Distribution of population (%),39445,5057,0.287,0.188,0.002,0.071,0.001,0.437,0.015
TX,Hays County,Distribution of all-cause deaths (%),1492,131,0.659,0.039,,0.008,,0.288,
TX,Hays County,Distribution of COVID-19 deaths (%),1492,131,0.458,,,,,0.504,
TX,Hays County,Distribution of population (%),1492,131,0.525,0.039,0.003,0.015,0.001,0.401,0.017
TX,Hidalgo County,Distribution of all-cause deaths (%),8086,2367,0.124,,,0.002,,0.872,
TX,Hidalgo County,Distribution of COVID-19 deaths (%),8086,2367,0.056,,,,,0.943,
TX,Hidalgo County,Distribution of population (%),8086,2367,0.059,0.004,0.001,0.009,0,0.925,0.002
TX,Hopkins County,Distribution of all-cause deaths (%),587,115,0.922,0.056,,,,0.019,
TX,Hopkins County,Distribution of COVID-19 deaths (%),587,115,0.93,,,,,,
TX,Hopkins County,Distribution of population (%),587,115,0.727,0.071,0.005,0.006,0.001,0.174,0.015
TX,Hunt County,Distribution of all-cause deaths (%),1095,123,0.875,0.066,,,,0.053,
TX,Hunt County,Distribution of COVID-19 deaths (%),1095,123,0.837,,,,,0.122,
TX,Hunt County,Distribution of population (%),1095,123,0.703,0.078,0.008,0.014,0.001,0.176,0.019
TX,Jefferson County,Distribution of all-cause deaths (%),3991,493,0.644,0.292,,0.012,,0.049,
TX,Jefferson County,Distribution of COVID-19 deaths (%),3991,493,0.629,0.252,,,,0.108,
TX,Jefferson County,Distribution of population (%),3991,493,0.393,0.331,0.003,0.038,0,0.221,0.014
TX,Lamar County,Distribution of all-cause deaths (%),956,168,0.839,0.122,0.021,,,0.013,
TX,Lamar County,Distribution of COVID-19 deaths (%),956,168,0.762,0.137,0.071,,,,
TX,Lamar County,Distribution of population (%),956,168,0.735,0.132,0.014,0.008,0,0.084,0.028
TX,Lubbock County,Distribution of all-cause deaths (%),5361,1322,0.605,0.064,0.002,0.008,,0.32,
TX,Lubbock County,Distribution of COVID-19 deaths (%),5361,1322,0.454,0.047,,,,0.493,
TX,Lubbock County,Distribution of population (%),5361,1322,0.526,0.07,0.004,0.022,0.001,0.363,0.014
TX,McLennan County,Distribution of all-cause deaths (%),3388,533,0.731,0.15,,0.006,,0.107,
TX,McLennan County,Distribution of COVID-19 deaths (%),3388,533,0.644,0.124,,,,0.216,
TX,McLennan County,Distribution of population (%),3388,533,0.554,0.139,0.003,0.016,0.001,0.27,0.017
TX,Maverick County,Distribution of all-cause deaths (%),523,133,,,,,,0.973,
TX,Maverick County,Distribution of COVID-19 deaths (%),523,133,,,,,,0.992,
TX,Maverick County,Distribution of population (%),523,133,0.027,0.003,0.011,0.006,0,0.951,0.002
TX,Midland County,Distribution of all-cause deaths (%),1531,293,0.62,0.068,,,,0.304,
TX,Midland County,Distribution of COVID-19 deaths (%),1531,293,0.423,0.065,,,,0.509,
TX,Midland County,Distribution of population (%),1531,293,0.44,0.062,0.005,0.021,0.001,0.46,0.012
TX,Montgomery County,Distribution of all-cause deaths (%),6579,749,0.772,0.094,,0.017,,0.112,0.003
TX,Montgomery County,Distribution of COVID-19 deaths (%),6579,749,0.565,0.124,,0.017,,0.287,
TX,Montgomery County,Distribution of population (%),6579,749,0.643,0.053,0.004,0.031,0.001,0.251,0.016
TX,Nacogdoches County,Distribution of all-cause deaths (%),931,180,0.778,0.175,,,,0.041,
TX,Nacogdoches County,Distribution of COVID-19 deaths (%),931,180,0.683,0.228,,,,0.078,
TX,Nacogdoches County,Distribution of population (%),931,180,0.592,0.176,0.004,0.012,0,0.2,0.015
TX,Nueces County,Distribution of all-cause deaths (%),4896,831,0.423,0.033,,0.009,,0.533,
TX,Nueces County,Distribution of COVID-19 deaths (%),4896,831,0.258,0.017,,,,0.716,
TX,Nueces County,Distribution of population (%),4896,831,0.287,0.035,0.003,0.02,0.001,0.644,0.011
TX,Potter County,Distribution of all-cause deaths (%),3083,788,0.721,0.061,0.004,0.018,,0.191,0.005
TX,Potter County,Distribution of COVID-19 deaths (%),3083,788,0.596,0.053,,0.03,,0.312,
TX,Potter County,Distribution of population (%),3083,788,0.432,0.101,0.005,0.056,0,0.39,0.015
TX,Rockwall County,Distribution of all-cause deaths (%),1095,195,0.809,0.071,,0.016,,0.098,
TX,Rockwall County,Distribution of COVID-19 deaths (%),1095,195,0.744,0.056,,,,0.174,
TX,Rockwall County,Distribution of population (%),1095,195,0.689,0.071,0.005,0.031,0.001,0.186,0.018
TX,Smith County,Distribution of all-cause deaths (%),4921,823,0.791,0.154,0.002,0.004,,0.048,
TX,Smith County,Distribution of COVID-19 deaths (%),4921,823,0.708,0.164,,,,0.118,
TX,Smith County,Distribution of population (%),4921,823,0.591,0.172,0.003,0.016,0.001,0.201,0.016
TX,Tarrant County,Distribution of all-cause deaths (%),20672,3108,0.686,0.146,0.001,0.026,0.002,0.136,0.003
TX,Tarrant County,Distribution of COVID-19 deaths (%),20672,3108,0.567,0.141,,0.034,,0.252,
TX,Tarrant County,Distribution of population (%),20672,3108,0.452,0.17,0.004,0.056,0.002,0.294,0.022
TX,Taylor County,Distribution of all-cause deaths (%),2349,490,0.785,0.054,,0.006,,0.152,
TX,Taylor County,Distribution of COVID-19 deaths (%),2349,490,0.722,0.029,,,,0.247,
TX,Taylor County,Distribution of population (%),2349,490,0.626,0.074,0.004,0.022,0.001,0.25,0.023
TX,Tom Green County,Distribution of all-cause deaths (%),1766,339,0.676,0.034,,0.006,,0.281,
TX,Tom Green County,Distribution of COVID-19 deaths (%),1766,339,0.51,0.032,,,,0.451,
TX,Tom Green County,Distribution of population (%),1766,339,0.523,0.036,0.004,0.012,0.001,0.407,0.017
TX,Travis County,Distribution of all-cause deaths (%),8457,975,0.638,0.11,0.002,0.023,,0.223,0.003
TX,Travis County,Distribution of COVID-19 deaths (%),8457,975,0.415,0.103,,0.016,,0.459,
TX,Travis County,Distribution of population (%),8457,975,0.488,0.08,0.002,0.072,0.001,0.336,0.02
TX,Victoria County,Distribution of all-cause deaths (%),1439,302,0.575,0.069,,0.009,,0.345,
